"","Age","Ethnicity"
"884",35,"Asian Indian"
"885",65,"Korean"
"886",28,"Chinese"
"887",31,"Asian Indian"
"888",76,"Chinese"
"889",34,"Korean"
"890",31,"Asian Indian"
"891",50,"Filipino"
"892",39,"Filipino"
"893",54,"Asian Indian"
"894",51,"Korean"
"895",20,"Chinese"
"896",47,"Chinese"
"897",32,"Korean"
"898",50,"Vietnamese"
"899",38,"Asian Indian"
"900",33,"Chinese"
"901",55,"Chinese"
"902",41,"Vietnamese"
"903",19,"Chinese"
"904",59,"Chinese"
"905",24,"Chinese"
"906",43,"Vietnamese"
"907",22,"Asian Indian"
"908",40,"Filipino"
"909",23,"Chinese"
"910",33,"Korean"
"911",23,"Vietnamese"
"912",24,"Korean"
"913",19,"Vietnamese"
"914",64,"Vietnamese"
"915",50,"Vietnamese"
"916",41,"Korean"
"917",60,"Korean"
"918",55,"Chinese"
"919",75,"Asian Indian"
"920",60,"Vietnamese"
"921",42,"Chinese"
"922",54,"Chinese"
"923",19,"Chinese"
"924",51,"Vietnamese"
"925",19,"Korean"
"926",34,"Korean"
"927",62,"Vietnamese"
"928",46,"Vietnamese"
"929",52,"Chinese"
"930",85,"Korean"
"931",45,"Chinese"
"932",50,"Chinese"
"933",65,"Korean"
"934",65,"Chinese"
"935",63,"Vietnamese"
"936",25,"Asian Indian"
"937",26,"Korean"
"938",47,"Filipino"
"939",46,"Vietnamese"
"940",42,"Vietnamese"
"941",27,"Korean"
"942",32,"Asian Indian"
"943",46,"Vietnamese"
"944",43,"Korean"
"945",40,"Vietnamese"
"946",29,"Chinese"
"947",55,"Vietnamese"
"948",54,"Chinese"
"949",25,"Vietnamese"
"950",26,"Asian Indian"
"951",30,"Asian Indian"
"952",64,"Chinese"
"953",33,"Filipino"
"954",78,"Korean"
"955",32,"Asian Indian"
"956",33,"Asian Indian"
"957",27,"Chinese"
"958",21,"Chinese"
"959",20,"Chinese"
"960",28,"Korean"
"961",22,"Vietnamese"
"962",22,"Chinese"
"963",65,"Chinese"
"964",68,"Chinese"
"965",56,"Chinese"
"966",60,"Vietnamese"
"967",71,"Korean"
"968",56,"Chinese"
"969",26,"Asian Indian"
"970",77,"Korean"
"971",20,"Chinese"
"972",65,"Vietnamese"
"973",43,"Vietnamese"
"974",61,"Chinese"
"975",41,"Asian Indian"
"976",19,"Vietnamese"
"977",24,"Korean"
"978",46,"Korean"
"979",33,"Chinese"
"980",41,"Chinese"
"981",30,"Asian Indian"
"982",51,"Chinese"
"983",46,"Korean"
"984",43,"Korean"
"985",43,"Chinese"
"986",32,"Vietnamese"
"987",54,"Korean"
"988",41,"Korean"
"989",38,"Korean"
"990",42,"Vietnamese"
"991",44,"Vietnamese"
"992",26,"Filipino"
"993",24,"Chinese"
"994",43,"Chinese"
"995",58,"Filipino"
"996",27,"Chinese"
"997",49,"Filipino"
"998",19,"Vietnamese"
"999",27,"Korean"
"1000",54,"Vietnamese"
